# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = code_1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
# id = 1
# data
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\reep_dqc.json
# init = 2 (Default)
# random
#   seed = 48138
# output
#   file = C:\Users\Studia\AppData\Local\Temp\tmpgr61_l4i\code_1-202104142005-1-pqvw005k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,lambda,y_sim.1,y_sim.2,y_sim.3,y_sim.4,y_sim.5,y_sim.6
0,0,188.554,208,168,181,205,192,193
0,0,47.6233,36,52,52,51,49,40
0,0,94.2469,100,82,99,99,100,81
0,0,93.4055,91,98,92,85,103,98
0,0,184.28,177,193,199,181,173,169
0,0,90.9631,95,86,69,106,82,74
0,0,59.6646,76,61,59,69,62,64
0,0,20.1952,21,18,17,22,19,17
0,0,44.318,40,50,37,56,47,42
0,0,82.0776,71,89,90,84,85,85
0,0,133.537,124,127,137,136,135,125
0,0,37.1913,40,32,38,40,41,43
0,0,224.368,212,228,228,257,225,201
0,0,61.4071,54,55,49,55,54,62
0,0,64.7588,74,61,57,72,66,61
0,0,18.3863,24,17,19,26,17,17
0,0,27.5226,28,26,30,19,25,38
0,0,107.568,122,127,111,117,102,98
0,0,175.787,174,188,161,172,181,147
0,0,5.81394,8,5,8,5,8,4
0,0,34.6342,35,38,27,39,36,32
0,0,31.6217,29,29,29,31,22,42
0,0,10.1849,16,6,4,9,7,6
0,0,7.96418,13,12,14,7,11,14
0,0,55.9265,68,46,58,67,46,52
0,0,53.5448,57,53,43,53,65,40
0,0,31.5022,35,35,27,31,45,42
0,0,44.7459,38,40,47,46,40,57
0,0,107.287,117,115,92,118,93,106
0,0,159.202,169,149,166,177,171,147
0,0,30.6758,32,26,26,35,28,29
0,0,71.9417,68,69,67,77,76,68
0,0,97.6279,109,95,103,121,99,89
0,0,122.758,137,157,127,143,103,108
0,0,95.8439,94,101,83,101,69,100
0,0,42.4361,35,50,45,50,37,45
0,0,8.02438,9,5,7,10,8,8
0,0,183.299,169,177,176,176,173,192
0,0,65.0058,75,43,60,55,65,68
0,0,10.9722,9,8,7,12,10,9
0,0,21.0731,20,17,14,25,17,15
0,0,242.113,250,226,257,234,231,242
0,0,62.0088,60,59,63,58,72,68
0,0,30.4332,33,35,22,31,24,38
0,0,133.471,132,138,152,138,111,157
0,0,75.2425,71,90,78,67,69,73
0,0,103.908,99,90,113,89,117,100
0,0,176.918,165,168,173,167,165,147
0,0,4.26559,4,5,5,5,4,3
0,0,92.5383,88,88,92,91,94,101
0,0,71.0242,53,86,78,84,64,77
0,0,18.9719,22,32,19,26,22,23
0,0,62.6138,62,58,53,48,69,54
0,0,38.7887,33,42,50,31,38,41
0,0,44.3458,29,39,56,44,33,44
0,0,18.1561,25,20,28,13,17,16
0,0,234.301,235,239,235,247,203,228
0,0,107.546,116,105,111,118,96,107
0,0,16.6592,19,13,17,15,19,17
0,0,57.2112,69,59,54,61,46,59
0,0,266.865,276,250,256,248,279,265
0,0,124.339,134,109,125,117,135,134
0,0,46.4261,40,34,43,49,54,37
0,0,1.91909,2,4,3,2,3,1
0,0,117.679,119,127,146,123,130,118
0,0,8.03337,5,9,7,11,13,6
0,0,146.821,133,171,135,149,159,132
0,0,29.5297,23,36,35,32,25,38
0,0,115.548,95,102,121,114,117,115
0,0,144.541,128,127,133,142,143,146
0,0,142.782,132,155,155,132,134,144
0,0,224.674,256,212,201,233,227,218
0,0,51.116,46,51,51,42,58,67
0,0,108.933,116,113,87,105,93,105
0,0,39.491,45,34,35,37,48,43
0,0,0.967454,1,1,0,2,1,0
0,0,58.491,54,52,65,60,50,63
0,0,164.926,154,199,153,153,165,168
0,0,22.2229,24,30,24,32,22,22
0,0,144.794,140,125,139,155,149,137
0,0,74.7924,75,79,69,79,79,87
0,0,97.6038,99,97,86,94,98,86
0,0,41.818,40,37,47,48,35,48
0,0,181.002,198,180,194,200,192,180
0,0,145.135,151,136,147,161,134,156
0,0,193.34,194,200,192,220,189,182
0,0,217.95,232,206,236,215,222,212
0,0,107.074,107,118,108,107,122,114
0,0,53.5223,47,52,59,49,44,67
0,0,1.76719,2,0,1,1,1,0
0,0,78.0909,79,73,86,84,76,71
0,0,19.9347,20,24,15,20,19,17
0,0,80.1737,78,82,74,78,81,66
0,0,31.07,30,29,32,30,25,36
0,0,38.4104,48,33,43,38,54,40
0,0,176.416,194,178,196,181,174,154
0,0,78.259,73,72,66,81,87,77
0,0,12.8396,11,18,15,17,13,12
0,0,188.242,193,194,191,160,182,178
0,0,53.2766,51,38,45,39,53,56
0,0,29.4996,33,33,27,31,22,35
0,0,36.2225,41,33,47,35,29,40
0,0,32.4131,33,38,33,37,35,34
0,0,15.9304,13,10,15,11,19,16
0,0,17.3182,18,12,19,11,20,19
0,0,80.4749,79,75,74,84,63,81
0,0,5.84273,5,2,7,11,6,5
0,0,56.4731,47,41,53,67,63,73
0,0,195.188,217,200,219,198,194,205
0,0,128.114,136,135,117,128,123,122
0,0,288.409,297,325,291,296,285,308
0,0,196.499,201,225,210,194,185,181
0,0,19.9741,25,17,17,21,24,24
0,0,112.351,96,98,97,113,121,110
0,0,287.146,300,286,292,278,288,300
0,0,244.388,242,250,260,227,231,226
0,0,229.515,227,230,244,228,227,206
0,0,21.1608,25,28,24,19,21,25
0,0,32.0665,36,42,28,31,24,35
0,0,96.7737,109,91,96,103,94,85
0,0,114.972,97,106,130,118,106,106
0,0,1.04761,0,0,2,0,1,1
0,0,33.2894,35,32,40,39,32,33
0,0,93.8687,76,96,96,104,108,106
0,0,68.7043,66,65,66,60,63,64
0,0,198.343,177,201,186,200,203,219
0,0,153.365,141,138,156,170,164,175
0,0,29.7569,33,37,32,34,24,21
0,0,156.245,149,157,156,156,168,170
0,0,225.91,198,228,244,244,213,236
0,0,8.71158,7,10,12,7,12,12
0,0,22.5062,28,20,17,19,30,22
0,0,193.672,186,220,191,188,197,192
0,0,32.2884,41,36,31,35,28,29
0,0,0.937449,0,2,0,1,1,1
0,0,73.1378,74,64,60,69,69,84
0,0,277.005,286,279,265,238,231,273
0,0,215.872,225,237,205,207,229,207
0,0,181.204,181,169,178,176,202,182
0,0,41.0315,36,39,44,47,40,31
0,0,89.9283,94,89,86,107,91,75
0,0,252.205,226,244,262,274,279,247
0,0,32.5291,25,22,38,29,26,30
0,0,120.579,107,119,130,119,130,110
0,0,187.384,187,192,220,204,191,196
0,0,0.19679,0,0,0,0,0,0
0,0,50.6789,52,51,51,49,37,50
0,0,96.0082,92,99,97,109,81,117
0,0,92.5347,105,98,105,95,98,86
0,0,11.991,15,18,9,14,15,9
0,0,12.5124,15,14,7,9,10,11
0,0,139.543,136,127,146,145,127,128
0,0,12.8591,12,15,18,18,13,10
0,0,82.1173,77,73,81,90,88,82
0,0,5.41851,4,5,4,5,6,6
0,0,219.764,211,209,218,224,224,193
0,0,119.625,127,122,128,124,115,129
0,0,7.20758,5,4,8,9,7,8
0,0,77.1697,91,70,78,76,84,78
0,0,176.245,194,184,190,178,163,160
0,0,8.57493,10,13,10,5,9,15
0,0,87.646,98,94,82,97,77,97
0,0,51.6869,53,59,48,60,31,50
0,0,110.4,108,105,107,123,105,96
0,0,49.1866,51,42,54,45,50,39
0,0,157.058,153,160,138,164,166,149
0,0,88.7918,85,67,79,83,78,84
0,0,73.9769,65,76,69,72,64,74
0,0,79.1634,83,88,90,92,67,79
0,0,93.7537,91,84,85,102,87,122
0,0,52.0498,51,60,70,50,56,50
0,0,168.021,194,167,174,164,173,162
0,0,58.0611,57,53,65,42,49,64
0,0,100.603,104,125,88,117,99,94
0,0,13.5754,12,12,15,16,11,12
0,0,56.7885,49,58,39,56,46,55
0,0,77.1024,80,82,78,81,86,83
0,0,47.3978,52,44,42,41,40,43
0,0,79.0354,84,84,80,74,77,70
0,0,145.359,158,162,134,167,142,144
0,0,133.406,131,150,129,129,122,115
0,0,85.4197,88,73,86,79,67,103
0,0,65.3764,56,78,81,57,63,58
0,0,123.064,99,118,123,115,133,122
0,0,23.631,26,31,20,18,21,22
0,0,151.007,135,146,152,141,147,137
0,0,197.647,188,202,196,178,190,198
0,0,27.4002,20,29,30,29,30,24
0,0,232.725,216,227,215,216,209,215
0,0,271.359,287,259,278,260,260,256
0,0,119.714,103,103,129,120,116,133
0,0,131.67,146,120,142,122,123,156
0,0,75.5645,84,70,77,90,83,75
0,0,361.009,359,370,366,374,334,354
0,0,54.0591,59,55,56,45,55,56
0,0,135.285,138,135,139,144,147,119
0,0,238.112,226,235,208,225,211,212
0,0,258.437,274,268,255,230,255,225
0,0,158.425,145,180,165,159,145,161
0,0,125.242,115,112,130,135,118,119
0,0,142.301,141,157,153,131,147,139
0,0,143.088,155,140,141,146,144,132
0,0,150.434,150,159,153,153,150,163
0,0,287.098,308,313,289,305,274,306
0,0,21.2065,16,29,18,19,14,21
0,0,92.4881,98,85,98,88,106,74
0,0,68.9648,65,71,83,75,66,78
0,0,201.29,214,210,193,201,203,221
0,0,57.1315,65,49,58,59,55,52
0,0,58.0534,79,65,55,41,59,51
0,0,23.9684,25,28,25,24,21,28
0,0,48.7799,43,50,49,37,61,48
0,0,18.6383,20,26,16,25,22,15
0,0,85.3131,78,79,88,93,73,84
0,0,53.4581,63,44,57,45,53,51
0,0,12.2461,20,8,22,12,13,17
0,0,172.925,154,161,174,180,191,167
0,0,146.513,143,160,127,165,142,146
0,0,301.265,293,305,274,299,281,281
0,0,68.5758,74,64,67,78,53,76
0,0,154.901,135,146,151,151,159,141
0,0,73.3119,55,64,87,81,62,72
0,0,33.2218,38,25,25,27,28,35
0,0,86.777,108,86,86,72,94,75
0,0,105.576,119,103,97,125,104,92
0,0,143.135,139,142,151,148,140,142
0,0,10.9127,17,12,12,14,12,8
0,0,101.858,97,88,107,116,90,99
0,0,56.4014,43,53,60,49,59,62
0,0,105.703,108,109,99,117,107,96
0,0,73.3735,73,81,65,72,91,62
0,0,98.7717,105,90,97,103,96,95
0,0,165.935,172,177,166,193,159,152
0,0,217.864,232,204,207,207,223,228
0,0,31.6196,34,38,28,32,29,30
0,0,84.2449,80,88,83,90,99,92
0,0,140.353,151,137,137,153,137,135
0,0,183.861,183,190,169,189,196,210
0,0,26.3135,22,22,33,29,35,25
0,0,96.3396,82,97,95,86,110,93
0,0,133.005,128,142,162,117,128,130
0,0,41.4385,51,45,50,41,51,40
0,0,63.3307,63,77,53,62,75,64
0,0,61.1343,58,62,58,53,69,61
0,0,195.225,210,195,172,187,181,209
0,0,210.907,204,240,205,211,233,219
0,0,160.364,156,151,170,160,138,157
0,0,198.216,177,187,199,207,185,224
0,0,22.0877,20,23,26,20,23,24
0,0,99.9794,102,100,104,88,91,82
0,0,56.6599,54,55,61,54,61,66
0,0,2.33414,1,0,1,3,3,0
0,0,46.5721,51,53,42,57,39,36
0,0,115.566,101,135,121,103,104,122
0,0,152.289,162,167,158,128,143,146
0,0,62.7172,53,62,60,57,61,64
0,0,47.4744,44,41,35,49,46,52
0,0,37.5754,38,49,32,48,41,42
0,0,157.66,162,157,154,148,154,171
0,0,164.913,176,197,157,167,142,146
0,0,362.494,328,378,361,349,383,352
0,0,37.8626,30,37,34,35,42,44
0,0,117.53,106,139,109,109,120,113
0,0,36.3034,36,37,32,35,38,31
0,0,155.421,152,189,140,145,155,152
0,0,14.1768,15,13,9,13,12,18
0,0,180.26,202,178,194,185,182,181
0,0,172.426,187,185,178,185,189,159
0,0,258.985,279,268,285,263,268,278
0,0,44.3817,40,35,49,48,36,54
0,0,45.0999,47,48,44,51,33,53
0,0,113.365,100,114,108,119,122,102
0,0,96.1098,97,108,88,83,83,99
0,0,41.1311,46,43,37,45,45,34
0,0,14.5482,15,14,16,4,12,26
0,0,138.018,128,110,167,135,140,134
0,0,184.152,184,197,182,181,187,178
0,0,35.4724,35,23,28,45,30,37
0,0,8.54478,8,7,9,8,8,10
0,0,11.1543,8,12,7,8,11,13
0,0,27.2645,26,28,22,31,26,35
0,0,45.999,47,54,50,45,44,46
0,0,200.426,236,190,208,180,225,195
0,0,108.656,102,103,107,105,93,119
0,0,25.7818,25,28,28,20,22,24
0,0,59.045,62,50,54,60,52,61
0,0,93.3038,97,94,83,113,89,116
0,0,36.3421,36,49,41,31,30,44
0,0,110.975,103,112,101,99,117,99
0,0,113.472,105,119,118,95,104,114
0,0,39.2675,39,41,40,35,35,35
0,0,10.2121,15,9,16,13,10,17
0,0,63.2781,71,68,63,69,57,57
0,0,91.6813,78,82,99,95,79,92
0,0,155.833,170,153,162,156,142,162
0,0,131.841,122,131,125,132,138,131
0,0,39.0568,48,34,34,30,39,34
0,0,17.7177,17,15,16,14,14,11
0,0,31.4748,35,40,21,36,26,29
0,0,140.019,121,144,174,138,133,133
0,0,163.725,164,142,135,168,153,159
0,0,42.9955,48,61,46,46,36,46
0,0,17.0373,18,12,20,16,20,18
0,0,117.742,117,129,121,121,128,124
0,0,126.799,103,118,143,129,122,113
0,0,126.572,118,130,133,103,119,121
0,0,197.639,199,175,170,197,212,224
0,0,62.4039,64,73,58,65,44,68
0,0,96.6772,110,102,86,105,93,101
0,0,155.286,172,152,148,176,160,132
0,0,14.4423,13,10,14,20,14,15
0,0,127.327,140,148,135,147,106,123
0,0,10.3195,12,7,17,9,17,12
0,0,50.4486,55,50,47,46,39,58
0,0,72.2155,66,75,77,79,70,73
0,0,39.2674,32,42,44,45,49,45
0,0,171.443,178,186,166,154,159,174
0,0,125.435,146,142,111,118,137,125
0,0,72.6638,76,75,68,79,74,63
0,0,225.257,231,202,228,240,217,224
0,0,380.807,356,406,388,413,369,379
0,0,82.5993,90,80,86,69,72,88
0,0,72.6638,71,61,87,72,86,61
0,0,25.0504,31,24,28,22,22,30
0,0,115.5,113,113,135,113,120,97
0,0,93.6108,63,99,100,98,88,95
0,0,413.786,433,430,407,425,418,436
0,0,168.723,153,157,174,184,157,178
0,0,80.5018,73,81,102,90,74,77
0,0,257.721,256,280,251,255,233,258
0,0,21.2504,18,21,19,25,18,13
0,0,67.8273,61,57,48,55,63,62
0,0,31.1451,28,26,26,36,35,28
0,0,52.7551,62,50,53,43,53,45
0,0,134.262,127,146,117,147,121,98
0,0,27.7196,35,26,28,24,20,25
0,0,5.76843,9,4,7,5,3,6
0,0,2.19728,0,1,3,4,4,3
0,0,131.253,119,107,121,122,121,119
0,0,132.319,132,145,138,113,145,135
0,0,85.9097,67,88,79,84,88,83
0,0,3.08033,3,3,2,6,2,2
0,0,26.9075,24,23,31,32,36,31
0,0,4.99809,6,2,4,5,7,7
0,0,72.0439,80,70,54,61,64,72
0,0,65.6192,57,79,64,68,79,63
0,0,24.997,31,28,18,29,23,22
0,0,131.246,133,127,124,114,132,133
0,0,105.435,105,113,106,116,97,116
0,0,82.5157,67,88,83,85,83,77
0,0,73.3606,77,85,82,93,80,83
0,0,138.746,157,138,141,136,145,132
0,0,27.8523,27,40,33,18,35,25
0,0,191.883,205,195,186,196,173,215
0,0,59.1436,70,66,53,51,43,60
0,0,59.073,65,43,61,56,65,55
0,0,21.7643,26,26,26,26,21,21
0,0,54.0285,57,55,70,54,65,59
0,0,131.96,132,126,135,130,143,137
0,0,45.711,51,47,44,49,50,36
0,0,122.722,122,110,121,120,133,122
0,0,89.3316,92,81,72,87,105,94
0,0,40.6127,45,39,43,46,34,43
0,0,0.249415,2,0,1,0,0,0
0,0,118.84,128,121,140,123,115,124
0,0,1.45154,2,1,2,1,4,1
0,0,124.948,107,131,126,123,131,107
0,0,225.725,231,222,230,204,214,233
0,0,22.3318,27,24,19,23,22,22
0,0,220.383,225,240,227,245,197,213
0,0,22.0053,16,26,17,22,21,19
0,0,153.548,157,157,172,181,165,154
0,0,57.4702,60,61,48,50,45,54
0,0,61.2745,56,49,64,61,71,55
0,0,36.2818,32,33,43,35,43,42
0,0,123.512,117,136,136,134,115,120
0,0,22.9368,16,20,18,21,24,31
0,0,34.1921,31,32,38,37,29,35
0,0,218.554,209,212,206,214,213,193
0,0,46.1265,39,50,57,46,59,39
0,0,155.792,171,158,155,160,139,159
0,0,108.688,111,110,102,107,112,108
0,0,160.952,158,144,160,139,162,159
0,0,15.0837,14,6,20,17,20,14
0,0,230.495,230,210,221,232,252,229
0,0,154.234,150,151,143,161,163,148
0,0,120.492,115,131,114,118,123,133
0,0,103.113,109,121,113,106,109,108
0,0,64.8818,61,79,63,56,63,61
0,0,137.786,134,136,148,135,151,143
0,0,46.4032,51,49,40,50,46,48
0,0,28.3229,18,27,33,28,26,33
0,0,251.567,267,246,247,267,254,260
0,0,120.439,108,125,121,136,127,124
0,0,201.074,211,180,198,194,203,222
0,0,88.9045,89,81,81,67,78,94
0,0,141.634,145,130,156,135,128,141
0,0,6.54425,7,6,6,5,4,3
0,0,74.5528,79,84,81,84,76,75
0,0,63.103,59,59,61,64,69,77
0,0,32.1293,35,26,30,37,25,38
0,0,245.566,257,234,221,241,229,237
0,0,29.9085,27,23,28,23,28,41
0,0,32.7683,27,26,38,33,33,40
0,0,357.55,363,347,328,348,355,381
0,0,121.629,122,117,136,126,121,128
0,0,62.6268,63,52,54,75,65,59
0,0,65.2615,65,73,80,58,67,67
0,0,91.2557,88,89,85,108,79,86
0,0,236.846,215,217,234,228,237,212
0,0,45.3343,38,38,49,36,59,42
0,0,225.784,222,256,259,227,222,226
0,0,65.1427,64,61,63,65,56,65
0,0,25.61,17,20,27,35,20,22
0,0,269.854,295,251,257,296,266,275
0,0,30.1286,22,35,33,29,29,32
0,0,109.73,97,110,106,121,107,108
0,0,257.892,256,235,247,232,262,267
0,0,153.487,149,148,166,163,161,163
0,0,66.0152,63,59,66,81,62,79
0,0,27.6518,33,27,28,38,25,22
0,0,83.3623,86,79,91,78,71,80
0,0,48.6229,51,58,66,50,64,46
0,0,29.362,40,21,20,22,34,29
0,0,58.413,57,63,59,55,60,51
0,0,47.8669,60,43,52,50,52,39
0,0,197.392,193,189,188,225,203,209
0,0,67.198,70,75,60,58,66,55
0,0,90.8884,84,96,81,83,72,85
0,0,161.392,154,163,181,180,176,149
0,0,35.9031,36,45,42,46,35,44
0,0,12.1903,7,16,15,19,8,11
0,0,121.762,137,125,114,123,129,140
0,0,136.642,129,154,132,129,135,138
0,0,206.066,226,210,195,197,224,201
0,0,211.206,212,209,196,209,201,209
0,0,145.173,141,150,151,128,137,130
0,0,56.3596,62,65,67,59,51,55
0,0,83.1698,83,100,77,94,93,74
0,0,52.6272,52,48,45,67,45,53
0,0,72.6143,74,71,70,69,85,67
0,0,42.7666,52,35,45,47,52,38
0,0,51.0419,37,73,56,44,61,57
0,0,33.5861,30,28,42,40,44,43
0,0,50.3193,55,47,53,47,43,50
0,0,2.1497,4,0,1,3,3,0
0,0,167.252,164,173,161,163,176,175
0,0,54.5037,59,51,49,53,53,42
0,0,58.3056,53,60,70,54,40,58
0,0,36.16,47,30,41,37,36,54
0,0,44.8262,51,51,44,44,34,46
0,0,62.0139,59,76,76,67,51,60
0,0,96.3358,87,90,78,108,121,98
0,0,194.969,208,172,210,185,201,215
0,0,145.668,156,139,143,156,152,131
0,0,51.3262,53,58,49,49,45,44
0,0,282.913,274,261,280,237,281,283
0,0,140.015,170,145,150,137,131,132
0,0,66.3094,55,71,77,66,69,72
0,0,95.2267,97,103,90,112,98,86
0,0,36.1736,47,35,37,32,28,31
0,0,4.02208,1,2,5,4,2,3
0,0,107.253,106,102,104,92,96,91
0,0,70.6082,73,74,69,71,78,86
0,0,133.001,159,130,138,135,130,148
0,0,197.417,198,168,206,206,196,201
0,0,73.6334,64,68,81,65,84,81
0,0,58.6784,63,59,49,59,55,43
0,0,217.002,222,188,216,217,191,241
0,0,106.262,105,109,118,103,106,94
0,0,70.99,73,87,82,66,64,61
0,0,207.129,190,191,201,228,198,187
0,0,41.3522,38,45,31,36,41,51
0,0,77.6326,75,79,66,74,76,73
0,0,19.5364,17,21,28,26,17,20
0,0,74.7906,78,76,79,64,76,77
0,0,100.541,90,98,103,90,89,91
0,0,74.9065,71,85,60,65,77,86
0,0,176.724,182,168,188,175,164,179
0,0,82.7917,83,92,83,103,83,74
0,0,120.816,114,118,118,120,135,104
0,0,12.6913,16,6,14,10,11,16
0,0,103.83,103,103,100,100,128,108
0,0,65.4821,59,64,52,60,57,60
0,0,260.44,272,265,211,266,249,275
0,0,69.0133,79,81,82,70,63,70
0,0,63.2765,72,69,60,68,77,63
0,0,57.0419,50,48,53,58,56,70
0,0,29.4425,31,27,24,16,25,22
0,0,354.37,338,337,362,334,350,354
0,0,108.336,89,113,95,117,109,87
0,0,132.628,118,108,135,131,151,154
0,0,10.1407,14,12,11,6,9,4
0,0,3.77865,4,7,2,4,6,3
0,0,75.1267,90,69,90,84,59,71
0,0,2.71362,2,3,2,2,0,1
0,0,124.64,140,125,114,135,139,123
0,0,129.115,123,138,133,136,137,142
0,0,244.356,242,249,238,221,245,250
0,0,67.2621,69,67,68,68,61,58
0,0,80.1055,79,89,76,79,75,77
0,0,135.936,157,139,137,158,112,126
0,0,133.933,126,152,136,130,140,133
0,0,146.461,161,139,162,163,145,148
0,0,114.822,105,115,109,101,125,126
0,0,345.189,322,359,342,363,298,356
0,0,27.9762,25,39,29,31,31,26
0,0,95.0778,106,89,81,112,92,92
0,0,179.665,195,192,203,168,175,181
0,0,192.854,177,183,181,177,212,204
0,0,116.567,113,118,103,109,102,112
0,0,58.6006,63,58,53,68,62,58
0,0,33.111,26,26,26,31,34,31
0,0,147.464,157,132,159,151,148,135
0,0,70.2761,75,71,60,83,71,67
0,0,172.602,173,184,183,166,163,180
0,0,92.7843,88,113,83,97,86,104
0,0,110.613,114,117,121,102,122,124
0,0,50.0285,46,50,53,41,47,46
0,0,138.98,131,147,149,137,103,146
0,0,147.233,163,154,159,141,125,150
0,0,91.3925,88,95,80,100,101,81
0,0,151.302,140,179,141,154,135,136
0,0,196.432,211,205,175,187,186,206
0,0,158.645,144,151,152,163,182,176
0,0,87.5988,80,83,83,103,78,77
0,0,31.2768,32,22,33,31,31,25
0,0,42.1615,46,51,46,38,60,40
0,0,117.427,124,122,123,137,105,106
0,0,192.782,224,217,173,185,190,198
0,0,146.785,141,130,142,160,162,149
0,0,32.1982,32,41,35,39,24,26
0,0,86.85,84,88,78,91,84,87
0,0,75.5998,70,79,83,84,83,66
0,0,107.576,114,101,106,108,92,97
0,0,14.7348,15,16,9,20,14,12
0,0,84.0802,80,68,79,80,88,87
0,0,107.908,108,116,114,101,112,115
